Frequency,Residual1,Residual2,Uncertainity,Galaxy
2.27,200.723,5.0,14.0,4.0
2.72,249.508,9.0,19.0,3.0
3.18,293.024,15.0,25.0,-1.0
3.63,327.77,4.0,23.0,-1.0
4.08,354.081,19.0,22.0,3.0
4.54,372.079,-30.0,21.0,6.0
4.99,381.493,-30.0,18.0,8.0
5.45,383.478,-10.0,18.0,8.0
5.9,378.901,32.0,16.0,10.0
6.35,368.833,4.0,14.0,10.0
6.81,354.063,-2.0,13.0,12.0
7.26,336.278,13.0,12.0,20.0
7.71,316.076,-22.0,11.0,25.0
8.17,293.924,8.0,10.0,30.0
8.62,271.432,8.0,11.0,36.0
9.08,248.239,-21.0,12.0,41.0
9.53,225.94,9.0,14.0,46.0
9.98,204.327,12.0,16.0,57.0
10.44,183.262,11.0,18.0,65.0
10.89,163.83,-29.0,22.0,73.0
11.34,145.75,-46.0,22.0,93.0
11.8,128.835,58.0,23.0,98.0
12.25,113.568,6.0,23.0,105.0
12.71,99.451,-6.0,23.0,121.0
13.16,87.036,6.0,22.0,135.0
13.61,75.876,-17.0,21.0,147.0
14.07,65.766,6.0,20.0,160.0
14.52,57.008,26.0,19.0,178.0
14.97,49.223,-12.0,19.0,199.0
15.43,42.267,-19.0,19.0,221.0
15.88,36.352,8.0,21.0,227.0
16.34,31.062,7.0,23.0,250.0
16.79,26.58,14.0,26.0,275.0
17.24,22.644,-33.0,28.0,295.0
17.7,19.255,6.0,30.0,312.0
18.15,16.391,26.0,32.0,336.0
18.61,13.811,-26.0,33.0,363.0
19.06,11.716,-6.0,35.0,405.0
19.51,9.921,8.0,41.0,421.0
19.97,8.364,26.0,55.0,435.0
20.42,7.087,57.0,88.0,477.0
20.87,5.801,-116.0,155.0,519.0
21.33,4.523,-432.0,282.0,573.0
